OBJECTID,Angle
1222399,36.13537661
1222401,36.13537661
1222402,36.57303098
1222435,36.29262973
1222436,36.29262973
1222439,36.29262973
1222464,36.57303098
1222476,36.29262973
1222477,36.29262973
1222478,36.29262973
1222479,36.29262973
1222489,36.08507304
1222493,36.08507304
1222529,40.70261334
1222538,35.21759296
1222542,35.21759296
1222543,36.08507304
1222544,36.08507304
1222545,36.08507304
1222548,36.57303098
1222553,36.13537661
1222557,36.13537661
1222575,12.6525565
1222576,12.69958449
1222582,36.13537661
1222589,36.41637852
1222590,36.41637852
1222591,36.41637852
1222596,39.80557109
1222597,36.29262973
1222599,36.29262973
1222605,36.29262973
1222606,36.29262973
1222607,36.29262973
1222609,36.29262973
1222613,39.80557109
1222614,39.80557109
1222615,36.41637852
1222619,40.70261334
1222620,36.13537661
1222622,36.57303098
1222683,39.80557109
1222722,40.70261334
1222724,36.57303098
1222729,11.76828893
1222733,12.6525565
1222734,12.6525565
1222744,36.57303098
1222747,35.21759296
1222749,35.21759296
1222770,36.13537661
1222773,36.57303098
1222774,36.57303098
1222778,36.57303098
1222902,23.47099312
1222903,23.47099312
1222904,23.47099312
1222916,23.47099312
1222917,23.47099312
1222918,23.47099312
1222919,23.47099312
1222920,23.47099312
1222921,23.47099312
1222936,23.47099312
1222937,23.47099312
1222940,23.47099312
1222943,40.33314163
1222949,40.33314163
1222950,40.33314163
1222951,40.33314163
1222960,40.33314163
1222961,40.33314163
1222967,40.33314163
1222968,40.33314163
1222969,40.33314163
1222977,40.33314163
1222980,40.33314163
1222989,40.33314163
1222990,40.33314163
1222991,40.33314163
1222992,40.33314163
1223002,40.33314163
1223008,40.33314163
1223009,40.33314163
1223015,40.33314163
1223016,40.33314163
1223023,40.33314163
1223024,40.33314163
1223025,40.33314163
1223031,40.33314163
1223032,40.33314163
1223043,40.33314163
1223044,40.33314163
1223052,40.33314163
1223061,40.33314163
1223062,40.33314163
1223069,40.33314163
1223073,40.33314163
1223080,40.33314163
1223081,40.33314163
1223105,40.70261334
1223106,40.70261334
1223108,40.70261334
1223116,40.70261334
1223117,40.70261334
1223118,40.70261334
1223119,40.70261334
1223130,40.70261334
1223131,40.70261334
1223132,40.70261334
1223133,40.70261334
1223143,40.70261334
1223151,40.70261334
1223152,40.70261334
1223158,40.70261334
1223168,36.57303098
1223170,36.57303098
1223171,40.70261334
1223172,40.70261334
1223178,40.70261334
1223179,40.70261334
1223180,40.70261334
1223185,40.70261334
1223189,40.70261334
1223190,40.70261334
1223198,40.70261334
1223199,40.70261334
1223200,40.70261334
1223210,40.70261334
1223211,40.70261334
1223212,40.70261334
1223213,40.70261334
1223222,40.70261334
1223223,40.70261334
1223228,40.70261334
1223229,36.57303098
1223230,36.57303098
1223231,36.57303098
1223236,36.57303098
1223237,40.70261334
1223241,36.57303098
1223242,36.13537661
1223248,36.13537661
1223249,36.13537661
1223255,36.13537661
1223256,36.13537661
1223262,36.13537661
1223263,36.13537661
1223268,36.13537661
1223269,36.13537661
1223270,36.13537661
1223271,36.13537661
1223273,36.13537661
1223274,36.13537661
1223275,36.13537661
1223279,36.13537661
1223280,36.13537661
1223282,36.13537661
1223290,36.13537661
1223291,36.13537661
1223297,36.13537661
1223298,36.13537661
1223299,36.13537661
1223306,36.13537661
1223308,36.13537661
1223311,36.13537661
1223314,36.13537661
1223318,36.13537661
1223319,36.13537661
1223320,36.13537661
1223325,36.13537661
1223327,35.88213725
1223333,35.88213725
1223338,35.88213725
1223339,35.88213725
1223344,35.88213725
1223347,35.88213725
1223353,35.88213725
1223354,35.88213725
1223355,35.88213725
1223362,35.88213725
1223363,35.88213725
1223367,35.88213725
1223368,35.88213725
1223370,35.88213725
1223371,35.88213725
1223374,35.88213725
1223376,35.88213725
1223377,36.57303098
1223381,36.57303098
1223384,36.57303098
1223385,36.57303098
1223388,36.57303098
1223389,36.57303098
1223390,36.57303098
1223396,36.57303098
1223397,36.57303098
1223404,36.57303098
1223412,36.57303098
1223413,36.57303098
1223416,36.57303098
1223419,36.57303098
1223420,36.57303098
1223427,36.57303098
1223428,36.57303098
1223429,36.57303098
1223430,36.57303098
1223435,36.57303098
1223436,36.57303098
1223437,36.57303098
1223438,36.57303098
1223443,36.57303098
1223444,36.57303098
1223445,36.57303098
1223446,36.57303098
1223452,36.57303098
1223453,36.57303098
1223454,36.57303098
1223455,36.57303098
1223456,36.57303098
1223458,36.57303098
1223459,36.57303098
1223460,36.57303098
1223466,36.57303098
1223467,36.57303098
1223468,36.57303098
1223473,36.57303098
1223474,36.57303098
1223475,36.57303098
1223476,36.57303098
1223477,36.57303098
1223484,36.57303098
1223485,36.57303098
1223486,36.57303098
1223487,36.57303098
1223488,36.57303098
1223492,36.57303098
1223493,36.57303098
1223494,36.57303098
1223499,36.57303098
1223500,36.57303098
1223501,36.57303098
1223505,36.57303098
1223506,36.57303098
1223507,36.57303098
1223517,31.75948009
1223518,31.75948009
1223532,31.75948009
1223543,31.75948009
1223544,31.75948009
1223545,31.75948009
1223553,31.75948009
1223554,31.75948009
1223555,31.75948009
1223566,31.75948009
1223567,31.75948009
1223568,31.75948009
1223574,31.75948009
1223575,31.75948009
1223589,-73.36119433
1223603,-73.36119433
1223613,35.75388725
1223628,36.43085812
1223645,36.59108827
1223663,-53.97262662
1223704,-67.38013505
1223710,-67.38013505
1223711,-67.38013505
1223758,37.20792192
1223760,-67.02168265
1223766,37.20792192
