label,StreetNa_1,county,labelDirec,Angle
Greenpoint Avenue,Greenpoint Ave,Queens County,R,73.51554681
46th Street,46th St,Queens County,,12.38075693
Jamaica Avenue,Jamaica Ave,Queens County,R,68.29456325
Jay Street,Jay St,Kings County,L,2.935673447
Willoughby Street,Willoughby St,Kings County,L,-87.51044708
Jerome Avenue,Jerome Ave,Bronx County,L,48.3500764
Junction Boulevard,Junction Blvd,Queens County,R,-30.31121323
,,11368,,0.001825298
Kings Highway,Kings Hwy,Kings County,L,68.90766049
Kingston Avenue,Kingston Ave,Kings County,R,4.537772507
Steinway Street,Steinway St,Queens County,R,39.44702897
Sutphin Boulevard,Sutphin Blvd,Queens County,R,-26.56505118
Third Avenue,3rd Ave,Bronx County,L,60.59281094
Union Turnpike,Union Tpke,Queens County,L,62.0377678
Utica Avenue,Utica Ave,Kings County,R,5.37670543
231st Street,W 231st St,Bronx County,L,-69.51964269
Broadway,Broadway,Bronx County,L,32.00538321
Westchester Avenue,Westchester Ave,Bronx County,,75.65066796
National Street,National St,Queens County,L,23.77234881
North 12th Street,N 12th St,Kings County,R,-58.39249775
North 6th Street,N 6th St,Kings County,L,-57.63336194
South 2nd Street,S 2nd St,Kings County,R,-75.22183827
Wythe Avenue,Wythe Ave,Kings County,L,23.47099312
Metropolitan Avenue,Metropolitan Ave,Kings County,,-71.74243693
East 15th Street,E 15th St,Kings County,L,-10.61965528
East 13th Street,E 13th St,Kings County,R,-11.17383824
East 16th Street,E 16th St,Kings County,R,-10.6697828
Boerum Place,Boerum Pl,Kings County,R,35.72739822
Dean Street,Dean St,Kings County,R,-69.18493403
,,11372,,0.001743474
Berry Street,Berry St,Kings County,R,31.52217725
South 4th Street,S 4th St,Kings County,L,-70.01689348
South 5th Street,S 5th St,Kings County,R,-70.98923358
South 3rd Street,S 3rd St,Kings County,R,-75.22183827
Kent Avenue,Kent Ave,Kings County,R,25.11483489
Flatbush Avenue,Flatbush Ave,Kings County,L,-46.75085419
Tremont Avenue,E Tremont Ave,Bronx County,R,-63.78862198
Broadway,Broadway,Kings County,R,-69.39675893
Church Avenue,Church Ave,Kings County,L,75.06858282
71st Avenue,71st Ave,Queens County,L,33.20657031
Court Street,Court St,Kings County,R,27.97947439
Atlantic Avenue,Atlantic Ave,Kings County,L,-71.38983527
161st Street,E 161st St,Bronx County,L,-74.31000707
170th Street,E 170th St,Bronx County,R,-73.25802961
Bainbridge Avenue,Bainbridge Ave,Bronx County,L,62.52556838
Burnside Avenue,E Burnside Ave,Bronx County,L,-72.8637255
Kingsbridge Road,E Kingsbridge Rd,Bronx County,R,-67.49017803
Pacific Street,Pacific St,Kings County,L,-67.91955483
St Mark's Avenue,St Marks Ave,Kings County,L,-77.27564432
Fordham Road,W Fordham Rd,Bronx County,L,83.15722659
Creston Avenue,Creston Ave,Bronx County,L,33.69006753
Fresh Pond Road,Fresh Pond Rd,Queens County,R,-34.3150876
Fulton Street,Fulton St,Kings County,L,-68.33404128
DeKalb Avenue,De Kalb Ave,Kings County,L,0
Flatbush Avenue Extension,Flatbush Ave Ext,Kings County,R,-23.32535088
Lafayette Avenue,Lafayette Ave,Kings County,R,85.10090754
Kissena Boulevard,Kissena Blvd,Queens County,R,7.883139317
Knickerbocker Avenue,Knickerbocker Ave,Kings County,R,-61.33604289
Liberty Avenue,Liberty Ave,Kings County,L,82.95423087
Liberty Avenue,Liberty Ave,Queens County,R,69.27444113
Livingston Street,Livingston St,Kings County,R,-69.50265945
Main Street,Main St,Queens County,L,-31.15930451
,,11354,,0.001421267
Manhattan Avenue,Manhattan Ave,Kings County,R,-13.05524723
,,11222,,0.00119708
Mermaid Avenue,Mermaid Ave,Kings County,L,84.13039956
Montague Street,Montague St,Kings County,L,-74.7448813
Myrtle Avenue,Myrtle Ave,Queens County,R,89.5185342
,,11385,,0.000946414
Northern Boulevard,Northern Blvd,Queens County,R,49.08561678
Metropolitan Avenue,Metropolitan Ave,Bronx County,R,28.81079374
Pitkin Avenue,Pitkin Ave,Kings County,L,82.04247477
Queens Boulevard,Queens Blvd,Queens County,R,-70.04110978
63rd Drive,63rd Rd,Queens County,L,64.61209371
63rd Road,63rd Rd,Queens County,L,64.61209371
63rd Drive,63rd Dr,Queens County,R,31.84905132
Ralph Avenue,Ralph Ave,Kings County,R,-4.96974073
Rockaway Parkway,Rockaway Pkwy,Kings County,R,-50.76263288
Roosevelt Avenue,Roosevelt Ave,Queens County,L,75.96375653
Sheepshead Bay Road,Sheepshead Bay Rd,Kings County,R,-78.69006752
Southern Boulevard,Southern Blvd,Bronx County,L,-4.922418187
Westchester Square,Westchester Sq,Bronx County,L,-55.98065001
White Plains Road,White Plains Rd,Bronx County,L,1.628824941
Smith Street,Smith St,Kings County,R,34.50852299
Grand Street,Grand St,Kings County,R,84.83669319
Hylan Boulevard,Hylan Blvd,Richmond County,L,70.34617594
Hollis Avenue,Hollis Ave,Queens County,L,78.69006753
Morris Park Avenue,Morris Park Ave,Bronx County,L,65.55604522
Hillside Avenue,Hillside Ave,Queens County,L,64.23067237
Seventh Avenue,7th Ave,Kings County,,40.36453657
Main Street,Main St,Westchester County,R,57.86275102
,Main St,Westchester County,,57.86275102
Broadway,Broadway,Nassau County,R,47.10551419
Broadway,W Broadway,Nassau County,L,83.41805534
High Ridge Road,High Ridge Rd,Fairfield County,,15.84308212
101st Avenue,101st Ave,Kings County,L,72.58202921
North 3rd Street,N 3rd St,Kings County,R,-58.17255342
Center Boulevard,Center Blvd,Queens County,R,43.02506599
Vernon Boulevard,Vernon Blvd,Queens County,L,17.44718842
Queens Plaza,Queens Plz N,Queens County,R,-66.29735405
Queens Plaza,Queens Plz S,Queens County,L,-66.47679098
Jackson Avenue,Jackson Ave,Queens County,L,70.55996517
45th Avenue,45th Ave,Queens County,L,-78.78936687
46th Avenue,46th Ave,Queens County,L,-78.86369057
43rd Avenue,43rd Ave,Queens County,L,-63.43494882
21st Street,21st St,Queens County,R,39.90260026
44th Drive,44th Dr,Queens County,L,-78.98288838
11th Street,11th St,Queens County,L,20.61818812
27th Street,27th St,Queens County,R,43.51854283
Crescent Street,Crescent St,Queens County,R,42.57072668
Driggs Avenue,Driggs Ave,Kings County,L,48.48327147
Franklin Avenue,Franklin Ave,Kings County,L,20.79411495
Arthur Avenue,Arthur Ave,Bronx County,R,41.91518767
,,10458,,0.001226744
,E 189th St,Bronx County,,-61.05998731
North 9th Street,N 9th St,Kings County,R,-58.10278994
Vanderbilt Avenue,Vanderbilt Ave,Kings County,R,21.03751103
John Street,John St,Kings County,R,-87.44890491
Plymouth Street,Plymouth St,Kings County,R,-88.81881109
Pearl Street,Pearl St,Kings County,R,2.489552925
Anchorage Place,Anchorage Pl,Kings County,R,-34.87532835
Front Street,Front St,Kings County,R,-87.98540121
Water Street,Water St,Kings County,L,-88.81881109
York Street,York St,Kings County,L,-86.69813433
Washington Street,Washington St,Kings County,L,3.468229255
Main Street,Main St,Kings County,R,0
Adams Street,Adams St,Kings County,L,3.691385987
Old Fulton Street,Old Fulton St,Kings County,R,-68.45902408
Story Avenue,Story Ave,Bronx County,R,83.22434383
4th Avenue,4th Ave,Kings County,L,34.11447295
Bedfird Avenue,Bedford Ave,Kings County,L,31.92087622
Central Avenue,Central Ave,Nassau County,L,53.58091821
Park Place,Park Pl,Kings County,L,-70.66519146
Fifth Avenue,5th Ave,Kings County,L,32.27564431
,,11226,,0.000269258
,,11211,,0.000974205
Warren Street,Warren St,Kings County,L,-69.09766582
Wyckoff Street,Wyckoff St,Kings County,L,-68.12518148
Bergen Street,Bergen St,Kings County,L,-69.39675892
Bond Street,Bond St,Kings County,,33.27488798
Schermerhorn Street,Schermerhorn St,Kings County,L,-72.62924667
Hoyt Street,Hoyt St,Kings County,L,33.47627829
,Bond St,Kings County,,34.28687697
State Street,State St,Kings County,R,-71.47218938
Sterling Place,Sterling Pl,Kings County,R,-77.80579996
Prospect Place,Prospect Pl,Kings County,R,-77.93223104
Avenue M,Avenue M,Kings County,R,83.18178543
Myrtle Avenue,Myrtle Ave,Kings County,L,-87.64670314
167th Street,E 167th St,Bronx County,L,-62.94940299
Melrose Avenue,Melrose Ave,Bronx County,L,23.72039557
Decatur Avenue,Decatur Ave,Bronx County,R,46.52076966
Webster Avenue,Webster Ave,Bronx County,R,53.55555824
Cortelyou Road,Cortelyou Rd,Kings County,L,70.09625046
Arthur Aveue,Arthur Ave,Bronx County,L,40.36453657
Arther Avenue,Arthur Ave,Bronx County,L,40.36453657
Arthir Avenue,Arthur Ave,Bronx County,L,41.91518767
Washington Avenue,Washington Ave,Kings County,R,-10.17551084
North 1st Street,N 1st St,Kings County,L,-63.92464442
Roebling Street,Roebling St,Kings County,R,53.13010235
South 1st Street,S 1st St,Kings County,R,-69.65215074
Manahattan Avenue,Manhattan Ave,Kings County,L,-29.56035446
River Avenue,Rivera Ave,Bronx County,R,29.78367329
163rd Street,E 163rd St,Bronx County,L,89.07595465
Weschester Avenue,Westchester Ave,Bronx County,L,61.38954033
Hunts Point Avenue,Hunts Point Ave,Bronx County,L,-48.62148471
Fort Greene Place,Fort Greene Pl,Kings County,R,-11.30993247
Ft Greene Place,Fort Greene Pl,Kings County,R,-11.30993247
Willis Avenue,Willis Ave,Bronx County,L,33.90627699
,Carroll St,Kings County,,-68.87076689
Franklin Street,Franklin St,Kings County,R,-9.593134262
North 5th Street,N 5th St,Kings County,R,-57.15091104
,Grand St,Kings County,,84.92786713
Ash Street,Ash St,Kings County,R,83.11827637
McGuinness Boulevard,McGuinness Blvd,Kings County,R,-2.353296869
Greenpoint Avenue,Greenpoint Ave,Kings County,R,83.92754359
Greepoint Avenue,Greenpoint Ave,Kings County,L,83.92754359
Calyer Street,Calyer St,Kings County,L,72.37770277
Meserole Avenue,Meserole Ave,Kings County,L,70.74070836
Norman Avenue,Norman Ave,Kings County,R,72.15979569
Nassau Avenue,Nassau Ave,Kings County,L,71.3126485
Dupont Street,Dupont St,Kings County,L,84.59620864
Parsons Boulevard,Parsons Blvd,Queens County,L,-29.74488129
,Dean St,Kings County,,-78.06580407
,Bergen St,Kings County,,-78.34970056
Commercial Street,Commercial St,Kings County,L,63.43494882
West Street,West St,Kings County,L,-7.224315694
,Hoyt St,Kings County,,34.9309373
204th Street,E 204th St,Bronx County,R,-43.31531568
,E 204th St,Bronx County,,-43.31531568
,98th St,Queens County,,-27.25532837
Metropolitan Avenue,Metropolitan Ave,Queens County,R,-82.14668671
,,11375,,0.00092228
Johnson Avenue,Johnson Ave,Bronx County,L,18.08344538
235th Street,W 235th St,Bronx County,L,-79.85445556
30th Avenue,30th Ave,Queens County,R,-66.57130719
Burnside Avenue,W Burnside Ave,Bronx County,R,-73.77980631
Debvoise Street,Debevoise St,Kings County,L,84.2321111
Debevoise Street,Debevoise St,Kings County,L,84.2321111
Flushing Avenue,Flushing Ave,Kings County,R,76.84245726
Graham Avenue,Graham Ave,Kings County,L,-9.727578555
,Varet St,Kings County,,84.95754893
Wyckoff Avenue,Wyckoff Ave,Kings County,R,-60.42216132
Wyckoff Avenue,Wyckoff Ave,Queens County,R,-62.2414594
Richmond Street,Richmond St W,,R,77.94600832
Queen Street West,Queen St W,,L,78.69006752
King Street,King St W,,R,78.69006753
Niagara Street,Niagara St,,R,-37.47617956
Whittaker Avenue,Whitaker Ave,,R,77.90524292
Mitchell Avenue,Mitchell Ave,,L,78.2825653
Adelaide Street,Adelaide St W,,R,78.60123693
Queen Street,Queen St W,,L,78.88695946
Walnut Avenue,Walnut Ave,,R,-33.46537935
Strachan Avenue,Strachan Ave,,R,-20.94747059
Strachan Avenue,Adelaide St W,,R,79.04593736
Stafford Street,Stafford St,,L,-22.61986495
Strachan Avenue,Richmond St W,,R,80.67640823
Harbord Street,Harbord St,,L,80.13419306
University Avenue,Wellington St W,,R,75.96375653
University Avenue,University Ave,,R,-28.36904629
Front Street West,Front St W,,R,76.293039
York Street,York St,,R,-24.36245301
Wellington Street West,Wellington St W,,L,77.73522627
Bay Street,Bay St,,L,-23.78203042
King Street West,King St W,,L,77.75366714
Adelaide Street West,Adelaide St W,,L,77.5548968
Yonge Street,Yonge St,,L,-24.34108994
King Street East,King St E,,R,79.38034473
Adelaide Street East,Adelaide St E,,L,77.61924307
University Avenue,Richmond St W,,L,78.366366
University Avenue,Adelaide St W,,L,78.58901687
Richmond Street West,Richmond St W,,L,79.3460974
Richmondd Street West,Richmond St W,,L,79.3460974
Temperance Street,Temperance St,,L,79.69515353
Queen Street East,Queen St E,,L,79.2611029
University Avenue,Queen St W,,L,77.12499844
Blue Jays Way,Blue Jays Way,,L,-22.61986495
Queens Quay West,Queens Quay W,,R,80.71995431
Bremner Boulevard,Bremner Blvd,,R,78.11134196
Lower Simcoe Street,Lower Simcoe St,,R,-22.61986495
Lower Jarvis Street,Lower Jarvis St,,L,-21.80140948
The Esplanade,The Esplanade,,L,64.34977374
Church Street,Church St,,L,-22.44912452
Dundas Street East,Dundas St E,,L,79.9920202
Bond Street,Bond St,,L,-21.27960443
Victoria Street,Victoria St,,L,-21.50143432
Jarvis Street,Jarvis St,,L,-21.33685929
Dundas Street West,Dundas St W,,L,77.31961651
Dundas Streer West,Dundas St W,,L,78.15173376
Centre Avenue,Centre Ave,,L,-22.65189165
Chesnut Street,Chestnut St,,L,-23.69421638
Elizabeth Street,Elizabeth St,,L,-21.80140949
University Avenue,Dundas St W,,R,80.53767779
Elm Street,Elm St,,L,75.32360686
Dundas Stret West,Dundas St W,,L,78.15173376
Gerrard Street West,Gerrard St W,,L,76.79891283
Gerrard Street East,Gerrard St E,,L,75.71890426
Gould Street,Gould St,,L,77.60459317
Mutual Street,Mutual St,,L,-22.529398
Toronto Street,Toronto St,,L,-21.80140948
Richmond Street East,Richmond St E,,L,77.93869054
Eglinton Avenue West,Eglinton Ave W,,R,78.02386756
Avenue Road,Avenue Rd,,R,-22.93210044
Yonge Street,Eglinton Ave W,,L,77.78849162
Mount Pleasant Road,Eglinton Ave E,,L,78.31063083
Eglinton Avenue East,Eglinton Ave E,,R,78.31063083
Redpath Avenue,Redpath Ave,,L,-21.71764379
,Yonge St,,,-12.33908728
Broadway Avenue,Broadway Ave,,R,78.92140858
Erskine Avenue,Erskine Ave,,L,78.69006753
Mount Pleasant Road,Mt Pleasant Rd,,L,-21.16125982
Mount Pleasant Road,Hillsdale Ave E,,L,78.89054179
Holly Street,Holly St,,L,-21.80140949
Yonge Street,Hillsdale Ave E,,R,77.94323747
Davisville Avenue,Davisville Ave,,R,77.4711923
Millwood Road,Millwood Rd,,L,78.45232707
Oriole Parkway,Oriole Pkwy,,L,-19.33012253
Adelaide Street,Adelaide St E,,R,-85.16958004
King Street,King St E,,R,77.07400088
Richmond Street,Richmond St E,,R,77.07400088
Queens Street West,Queen St W,,R,79.85445557
Dufferin Street,Dufferin St,,R,-21.54097592
Bloor Street,Bloor St W,,L,78.25436657
Roncesvalles Avenue,Roncesvalles Ave,,R,-19.17900802
Marion Street,Marion St,,L,78.39710408
Dundas Street,Dundas St W,,R,-20.17065341
Cherry Street,Cherry St,,R,-24.0831962
Front Street,Front St E,,R,77.04468072
Mill Street,Mill St,,L,77.39442264
Trinity Street,Trinity St,,R,-23.74949449
College Street,College St,,L,78.11134196
Lansdowne Avenue,Lansdowne Ave,,R,-16.82140989
Bathurst Street,Bathurst St,,R,-21.44773633
Spadina Avenue,Spadina Ave,,L,-21.55707929
St Clair Avenue,St Clair Ave W,,R,77.73522627
Old Stock Yards Road,St Clair Ave W,,L,77.79953127
Batavia Drive,Batavia Ave,,L,-21.80140949
,,ON,St Clair Avenue,St Clair Ave W
Mavety Street,Mavety St,,R,-21.80140949
Pacific Avenue,Pacific Ave,,L,-21.59531045
High Park Avenue,High Park Ave,,L,-23.43480632
Saint Johns Road,St Johns Rd,,L,51.49934628
Saint Johns Road,Dundas St W,,L,-88.80651058
Munro Street,Munro St,,R,-24.34108994
Davies Avenue,Queen St E,,L,78.31063083
,Queen St E,,,77.90524292
Pape Avenue,Queen St E,,R,77.51453251
Pape Avenue,Pape Ave,,R,-19.23067237
Coady Avenue,Coady Ave,,R,-23.49116216
Wellesley Street,Wellesley St W,,R,77.61924307
Wellesly Street,Wellesley St W,,R,78.11134196
Wellesley Street,Wellesley St E,,R,74.64986351
Gerrard Street,Gerrard St W,,R,77.93511559
Gerrard Street,Gerrard St E,,L,78.15792388
Carlton Street,Carlton St,,L,77.47119229
Chruch Street,Church St,,R,-20.75407132
King West,King St W,,L,80.78897346
Ossington Avenue,Ossington Ave,,R,-20.32313683
Dupont Street,Dupont St,,R,77.27564432
Saint George Street,St George St,,R,-19.98310652
Avenue Road,Roxborough St W,,R,79.9920202
Queens Quay West,Queens Quay E,,R,71.77884041
Queens Quay East,Queens Quay E,,L,70.86635679
Spadina Avenue,Richmond St W,,R,76.68236603
Peter Street,Peter St,,L,-21.31791228
Adalaide Street,Adelaide St W,,R,77.92471142
Wellington Street,Wellington St W,,R,77.66091272
Danforth Avenue,Danforth Ave,,L,79.69515353
Colborne Street,Colborne St,,L,76.1224702
Leader Lane,Leader Ln,,L,-22.83365418
Wellington Street,Wellington St E,,L,77.75366714
Wellington Street East,Wellington St E,,R,76.17134902
Charles Street,Charles St W,,R,77.78428087
Scollard Street,Scollard St,,R,78.29709852
Yorkville Avenue,Yorkville Ave,,R,77.81634341
Hazelton Avenue,Hazelton Ave,,L,-22.05106272
Bllor Street,Bloor St W,,L,79.56252465
Balmuto Street,Balmuto St,,L,-18.43494882
St. Thomas Street,St Thomas St,,L,-19.35899418
Portland Street,Portland St,,L,-22.24902366
Sultan Street,Sultan St,,R,78.07067782
Cumberland Street,Cumberland St,,L,77.90524292
Bellair Street,Bellair St,,R,-22.61986496
Bloor Street,Bloor St E,,R,77.43255725
Prince Arthur Avenue,Prince Arthur Ave,,L,78.21767487
Cumberland Avenue,Cumberland St,,R,77.86317554
Yorkville Street,Yorkville Ave,,L,77.22875743
St Thomas Street,St Thomas St,,L,-22.1902889
Maud Street,Maud St,,L,-21.39981013
Spadina Avenue,Adelaide St W,,L,78.69006753
Camden Street,Camden St,,L,78.42481118
Adelaide Avenue,Adelaide St W,,R,78.366366
John Street,John St,,L,-22.61986495
Widmer Street,Widmer St,,L,-20.48701419
Simcoe Street,Simcoe St,,L,-23.09682192
Nelson Street,Nelson St,,L,76.86597769
Duncan Street,Duncan St,,L,-19.53665494
Adelaide Place,Adelaide Pl,,R,-24.26129085
Brant Street,Brant St,,L,-22.89055165
Spadina Avenue,King St W,,R,78.26691584
Pearl Street,Pearl St,,R,77.77038424
Stewart Street,Stewart St,,R,78.73228991
Blue Jays Way,Wellington St W,,L,77.70473358
Clarence Square,Wellington St W,,R,78.50343698
Mercer Street,Mercer St,,L,77.28466301
Heath Street,Heath St W,,L,79.3396517
Delisle Avenue,Delisle Ave,,R,78.92979742
St Clair Avenue,St Clair Ave E,,R,78.23171107
Heath Street,Heath St E,,L,78.2118167
Alvin Avenue,Alvin Ave,,R,-23.40468955
Ferndale Avenue,Ferndale Ave,,L,-22.24902366
Balmoral Avenue,Balmoral Ave,,R,78.24871076
Pleasant Boulevard,Pleasant Blvd,,R,72.73211997
Yonge Street,St Clair Ave E,,R,78.23171107
Rosehill Avenue,Rosehill Ave,,R,78.46537934
Farmham Avenue,Farnham Ave,,R,78.57443543
Jackes Avenue,Jackes Ave,,R,77.61924307
Woodlawn Avenue,Woodlawn Ave W,,R,78.53046967
Farnham Avenue,Farnham Ave,,L,78.57443543
Woodlawn Avenue,Woodlawn Ave E,,R,78.23171107
Yonge Street,Woodlawn Ave E,,R,77.90524293
Yonge Street,Woodlawn Ave W,,L,78.90627699
Walker Avenue,Walker Ave,,R,77.95164878
Summerhill Avenue,Summerhill Ave,,R,78.56087771
Walker Street,Walker Ave,,L,77.88123967
Alcorn Avenue,Alcorn Ave,,R,78.02386756
Shaftesbury Avenue,Shaftesbury Ave,,R,77.79953127
George Street,George St,,R,-22.66455743
Frederick Street,Frederick St,,L,-25.01689348
,King St E,,,77.67527256
Scott Street,Scott St,,R,-30.03328044
Front Street,Front St W,,R,67.61986495
Melinda Street,Melinda St,,L,74.74488129
Market Street,Market St,,L,-22.16634582
Jarvis Street,Lower Jarvis St,,R,-25.11483489
Portugal Square,Portugal Sq,,R,50.90614112
Tecumseth Street,Tecumseth St,,R,-18.43494883
Sherbourne Street,Sherbourne St,,R,-22.91690262
Ontario,Richmond St E,,L,77.12499844
Richmond,Richmond St E,,R,76.60750225
Parliament Street,Parliament St,,L,-23.19859051
Ontario Street,Ontario St,,L,-27.36821043
Ossington Avenue,Dundas St W,,L,-88.05380488
Ossington Avenue,Queen St W,,L,78.50343698
Queen Street Wset,Queen St W,,R,79.04593735
M6K 1L6,Queen St W,,L,78.69006753
M6K 1L4,Queen St W,,L,78.40782459
Queen Street Weset,Queen St W,,R,78.54124765
Quene Street West,Queen St W,,L,78.40782459
,Queen St W,,,78.25001643
Spadina Avenue,Queen St W,,L,77.47119229
,,M6K 1T,,0.001964336
Crawford Street,Crawford St,,L,-20.92450174
,,M6J 1W,,0.000376563
Bellwoods Avenue,Dundas St W,,R,77.73522628
M6J 1V1,Dundas St W,,R,78.69006752
Dundas Stree West,Dundas St W,,L,77.77487733
Queen Sttreet West,Queen St W,,R,78.51800864
Mowat Avenue,Mowat Ave,,L,-21.48055647
Liberty Street,Liberty St,,L,78.69006752
Fraser Avenue,Fraser Ave,,R,-21.25050551
Jefferson Avenue,Jefferson Ave,,R,-19.91062613
Atlantic Avenue,Atlantic Ave,,L,-21.29735405
Hanna Avenue,Hanna Ave,,R,-20.55604522
Liberty Street,E Liberty St,,L,86.27868674
Lynn Williams Street,Lynn Williams St,,R,0
Western Battery Road,Western Battery Rd,,R,-19.93253656
Pardee Avenue,Pardee Ave,,L,-22.03622694
Jane Street,Jane St,,L,-21.25050551
Beresford Avenue,Beresford Ave,,L,-22.06789956
Burger,Bloor St W,,L,78.17851166
Kennedy Avenue,Kennedy Ave,,L,-23.53234856
Manning Avneue,Manning Ave,,R,-22.85876188
Spadina Avenue,Bloor St W,,L,78.43986921
Baldwin Street,Baldwin St,,R,77.97472039
Kensington Avenue,Kensington Ave,,R,-21.80140949
Augusta Avenue,Augusta Ave,,R,-23.83874018
Spadina Avenue,Dundas St W,,L,76.90810694
Roncesvalles Ave,Roncesvalles Ave,,L,-16.23884163
East Liberty St,E Liberty St,,L,86.27868674
Quick Service Restaurant,Queen St W,,R,79.33965171
Mowat Avenue,King St W,,R,78.31063082
Davenport Road,Davenport Rd,,R,-77.95742486
,Bellair St,,,-21.80140948
,Genoa St,,,-22.0112832
Avenue Street,Avenue Rd,,L,-22.10944835
Lombard Street,Lombard St,,R,78.23171107
King Steet,King St E,,R,79.38034473
Berkeley Street,Berkeley St,,L,-22.91690262
Frederick St,Frederick St,,L,-25.01689348
Kensington Avenue,Dundas St W,,L,77.59258147
St Andrews Street,St Andrew St,,R,79.17698878
Nassau Street,Nassau St,,R,78.19756579
Lower Sherbourne Street,Lower Sherbourne St,,L,-19.72227776
Princess Street,Princess St,,R,-23.49856568
Shutter Street,Shuter St,,L,78.50343698
Franklin Street,Franklin Pl,New York County,R,39.01940048
Suffolk Street,Suffolk St,New York County,R,27.53607311
Horatio Street,Horatio St,New York County,R,0
2nd Street,E 2nd St,New York County,R,-66.50143432
3rd Street,E 3rd St,New York County,R,-67.18833614
5th Street,E 5th St,New York County,R,-67.10013347
6th Street,E 6th St,New York County,L,-67.10013347
7th Street,E 7th St,New York County,L,-67.27589785
Fort Washington Avenue,Fort Washington Ave,New York County,L,17.33516493
187th Street,W 187th St,New York County,R,-69.51298581
Pinehurst Avenue,Pinehurst Ave,New York County,L,16.97549947
West 225th Street,W 225th St,New York County,L,-65.11672517
Chrystie Street,Chrystie St,New York County,L,26.56505118
East 28th Street,E 28th St,New York County,L,-67.27850185
,Delancey St,New York County,,-73.30075577
,A New St,New York County,,35.97238705
East 124th Street,E 124th St,New York County,R,-66.92958775
124th Street,E 124th St,New York County,R,-67.16634582
111th Street,E 111th St,New York County,L,-67.27850185
Pleasant Avenue,Pleasant Ave,New York County,R,37.2781742
Norfolk Street,Norfolk St,New York County,l,27.1496817
Union Square,Union Sq E,New York County,R,35.7066914
Greenwich Street,Greenwich Mews,New York County,R,-83.65980825
Ridge Street,Ridge St,New York County,R,26.95217893
56th Street,E 56th St,New York County,R,-67.26058221
Pitt Street,Pitt St,New York County,L,25.78290482
Hester Street,Hester St,New York County,R,-73.49563862
Columbus Circle,Columbus Cir,New York County,L,40.03025927
John Street,John St,New York County,R,-57.61932229
Beekman Street,Beekman St,New York County,L,-35.16643604
Front Street,Front St,New York County,L,63.01976928
Peck Slip,Peck Slip,New York County,R,-44.39690881
Attorney Street,Attorney St,New York County,L,27.1496817
Baxter Street,Baxter St,New York County,R,31.71513352
Dey Street,Dey St,New York County,L,-65.36160327
Cortlandt Street,Cortlandt St,New York County,L,-64.75402644
Avenue D,Avenue D,New York County,L,36.34745821
9th Street,E 9th St,New York County,R,-67.00510109
,Wooster St,New York County,,38.05901657
East 86th Street,E 86th St,New York County,,-67.43299092
North Avenue,W North Ave,Cook County,L,87.61405597
Sheffield Avenue,N Sheffield Ave,Cook County,R,0
Wrightwood Avenue,W Wrightwood Ave,Cook County,L,0
Lincoln Park,N Lincoln Park West,Cook County,L,-0.489695592
Fullerton Avenue,W Fullerton Pkwy,Cook County,R,88.281642
Sandburn Terrace,N Sandburg Ter,Cook County,R,-0.716159948
North Avenue,W North Blvd,Cook County,L,88.56790381
,,60614,,0.00021
Fullerton Avenue,W Fullerton Ave,Cook County,L,88.49256424
LaSalle Drive,N LaSalle Blvd,Cook County,L,-1.909152433
Kingsbury Street,N Kingsbury St,Cook County,L,-37.64762064
Weed Street,W Weed St,Cook County,R,89.5787151
Evergreen Avenue,W Evergreen Ave,Cook County,R,-89.06080905
Blackhawk Street,W Blackhawk St,Cook County,L,0
Fremont Street,N Fremont St,Cook County,L,-0.971021934
Marcey Street,N Marcey St,Cook County,,-52.66047533
St Clair Street,N St Clair St,Cook County,L,-2.095252563
Walton Place,E Walton Pl,Cook County,L,88.62790835
Larrabee Street,N Larrabee St,Cook County,R,0.848764272
Sedgwick Street,N Sedgwick St,Cook County,L,-2.227046967
Greenwich Avenue,Greenwich Ave,Fairfield County,L,-13.67130713
,,60661,,0.001032492
Lincoln Avenue,N Lincoln Ave,Cook County,L,-54.87783629
Southport Avenue,N Southport Ave,Cook County,L,-2.544804381
Wabansia Avenue,W Wabansia Ave,Cook County,L,0
Ashland Avenue,N Ashland Ave,Cook County,R,-0.561705331
Elston Avenue,N Elston Ave,Cook County,L,-36.80193115
Logan Boulevard,W Logan Blvd,Cook County,L,55.49147702
Logan Boulevard,N Logan Blvd,Cook County,L,45
Broadway Street,N Broadway St,Cook County,L,-1.181188914
Diversey Parkway,W Diversey Pkwy,Cook County,L,89.26074065
,,60657,,0.00045
Belmont Avenue,W Belmont Ave,Cook County,L,89.33380003
Broadway Street,N Broadway,Cook County,L,-33.17851166
Addison Street,W Addison St,Cook County,L,89.51445417
Sheridan Road,N Sheridan Rd,Cook County,L,-3.179830112
Roscoe Street,W Roscoe St,Cook County,L,89.44374777
Western Avenue,N Western Ave,Cook County,L,0
Lawrence Avenue,W Lawrence Ave,Cook County,L,89.53419092
Leland Avenue,W Leland Ave,Cook County,R,74.24882634
,,60618,,0.001104355
,,60613,,0.001092886
Montrose Avenue,W Montrose Ave,Cook County,L,88.91907582
South Pointe Drive,S Pointe Dr,Miami-Dade County,R,-88.89829388
Illinois Street,E Upper Illinois Ave,Cook County,R,88.31531568
Duval Street,Duval St,Monroe County,R,-36.86989765
Las Olas Boulevard,E Las Olas Blvd,Broward County,L,88.91907581
