OBJECTID,Id,St_label,Labelside,Address,Numberreal,Occupantre,Dm,DetailCat,StreetName,Angle,Direction
21678,118700,First Avenue,L,1513 1 AVENUE,1513,The Vitamin Shoppe,1/26/2009,Other,E 79th St,-67.20940916,S
21679,118701,Grand Street,L,76 VARICK STREET,0,Construction,7/23/2007,Under Construction,Grand St,-84.61068824,S
21680,118702,Grand Street,R,80 VARICK STREET,0,Residential,7/23/2007,Residential,Grand St,-86.0090869,N
21681,118703,Grand Street,R,57 WATTS STREET,0,Office,7/23/2007,Other,Grand St,-84.61068824,N
21682,118704,Grand Street,L,27 GRAND STREET,27-31,The James Hotel,4/26/2011,Hotel,Grand St,-68.19859052,S
21683,118705,Grand Street,L,17 THOMPSON STREET,17,Soho's Finest Market,6/23/2016,Grocery,Grand St,-68.19859052,S
21684,118706,Grand Street,R,92 AVENUE OF THE AMER,0,Construction,7/23/2007,Under Construction,Grand St,-68.19859052,N
21685,118707,Grand Street,R,30 GRAND STREET,26,Vacant,6/23/2016,Vacant,Grand St,-68.19859052,N
21686,118708,Grand Street,R,30 GRAND STREET,26,Vacant,6/23/2016,Vacant,Grand St,-68.19859052,N
21687,118709,Grand Street,R,30 GRAND STREET,30,Vacant (Available),11/5/2012,Vacant,Grand St,-68.19859052,N
21688,118710,Grand Street,R,30 GRAND STREET,32,Maison Close,6/23/2016,Fashion:Upscale,Grand St,-68.19859052,N
21689,118711,Grand Street,L,35 GRAND STREET,20,Thompson Finest Deli,6/12/2012,Convenience Store,Thompson St,62.92791976,W
21690,118712,Grand Street,L,41 GRAND STREET,41,Recess,4/26/2011,Gallery,Grand St,-64.47030201,S
21691,118713,Grand Street,L,43 GRAND STREET,43-45,Vacant,6/23/2016,Vacant,Grand St,-64.47030201,S
21692,118714,Grand Street,L,43 GRAND STREET,43-45,MinottiCucine,11/5/2012,Home Furnishings,Grand St,-64.47030201,S
21693,118715,Grand Street,R,38 GRAND STREET,42,Vacant (Available),11/5/2012,Vacant,Grand St,-64.47030201,N
21694,118716,Grand Street,R,44 GRAND STREET,44,Vacant,6/23/2016,Vacant,Grand St,-64.47030201,N
21695,118717,Grand Street,R,46 GRAND STREET,46,GG Cleaners,4/26/2011,Misc Service,Grand St,-64.47030201,N
21696,118718,Grand Street,R,48 GRAND STREET,48,Vacant,6/23/2016,Vacant,Grand St,-64.47030201,N
21697,118719,Grand Street,L,55 GRAND STREET,55,Papatzul,7/23/2007,Restaurant,Grand St,-63.71173788,S
21698,118720,Grand Street,L,55 GRAND STREET,55,Residential,7/23/2007,Residential,Grand St,-63.71173788,S
21699,118721,Grand Street,L,57 GRAND STREET,57,Toad Hall,7/23/2007,Bar,Grand St,-63.71173788,S
21700,118722,Grand Street,L,59 GRAND STREET,59,Lucky Strike,5/15/2008,Bowling,Grand St,-63.71173788,S
21701,118723,Grand Street,,69 GRAND STREET,0,Delete,12/19/2016,,Grand St,-63.71173788,
21702,118724,Grand Street,R,60 GRAND STREET,60,Robins Jean (Available),1/19/2017,Available,Grand St,-63.71173788,N
21703,118725,Grand Street,R,62 GRAND STREET,62,Rachel Ashwell Shabby Chic,6/23/2016,Home Furnishings,Grand St,-63.71173788,N
21704,118726,Grand Street,R,66 GRAND STREET,64,The Wild Horses of Sable Island Gallery,5/21/2015,Gallery,Grand St,-63.71173788,N
21705,118727,Grand Street,R,66 GRAND STREET,66,Vacant,6/23/2016,Vacant,Grand St,-63.71173788,N
21706,118728,Grand Street,R,66 GRAND STREET,70,Residential,7/23/2007,Residential,Grand St,-63.71173788,N
21707,118729,Grand Street,,107 GRAND STREET,107,Delete,1/15/2008,,Grand St,-61.74197039,
21708,118730,Grand Street,R,40 MERCER STREET,110,Dermalogica,9/4/2014,Medical,Grand St,-61.74197039,N
21709,118731,Grand Street,,40 MERCER STREET,0,Delete,2/19/2016,,Grand St,-61.74197039,
21710,118732,Grand Street,R,240 CENTRE STREET,0,Open Door Service Center,7/23/2007,Misc Service,Grand St,-67.9887168,N
21711,118733,Grand Street,L,179 GRAND STREET,179,Villy Pharmacy (Available),11/2/2012,Pharmacy,Grand St,-71.05349531,S
21712,118734,Grand Street,L,223 GRAND STREET,221 - 223,Chinatown Food Market,7/23/2007,Grocery,Grand St,-70.01689348,S
21713,118735,Grand Street,L,223 GRAND STREET,227,JoJos Beauty Care,6/12/2012,Cosmetics: Cosmetic Stores,Grand St,-70.01689348,S
21714,118736,Grand Street,L,229 GRAND STREET,229,Best Western Bowery Hanbee,9/17/2008,Hotel,Grand St,-70.01689348,S
21715,118737,Grand Street,R,124 BOWERY,230,Rainbow Hair Salon,7/23/2007,Salon/Spa,Grand St,-70.01689348,N
21716,118738,Grand Street,R,124 BOWERY,230,Double Crispy Bakery,7/23/2007,Caf??,Grand St,-70.01689348,N
21717,118739,Grand Street,R,124 BOWERY,230 A-3,Tu Quynn Center,7/23/2007,Medical,Grand St,-70.01689348,N
21718,118740,Grand Street,R,124 BOWERY,230 A1-2,Tu Quynn Pharmacy,7/23/2007,Pharmacy,Grand St,-70.01689348,N
21719,118741,Lafayette Street,R,155 GRAND STREET,161,Baby Grand,6/30/2014,Bar,Lafayette St,43.56790381,E
21720,118742,Lafayette Street,R,159 GRAND STREET,157,Salon De Lafayette,6/12/2014,Salon/Spa,Lafayette St,43.56790381,E
21721,118743,Lafayette Street,R,217 CENTRE STREET,153,JBW Jeffrey Ching Salon,6/30/2014,Salon/Spa,Lafayette St,43.56790381,E
21722,118744,Lafayette Street,R,211 CENTRE STREET,147,Museum of Chinese America,8/1/2007,Education,Lafayette St,43.56790381,E
21723,118745,Lafayette Street,R,2 HOWARD STREET,137-145,General Services Administration Publib Building,10/18/2012,Landmark,Lafayette St,43.56790381,E
21724,118746,Lafayette Street,L,151 GRAND STREET,162,Vacant,3/11/2010,Vacant,Lafayette St,43.56790381,W
21725,118747,Lafayette Street,L,151 GRAND STREET,158,The Ship,6/12/2014,Bar,Lafayette St,43.56790381,W
21726,118748,Lafayette Street,L,9 CROSBY STREET,150,Vacant (Available),9/13/2016,Vacant,Lafayette St,43.56790381,W
21727,118749,Lafayette Street,L,12 HOWARD STREET,148,Utrecht Art Supplies,7/11/2012,Arts & Crafts,Lafayette St,43.56790381,W
21728,118750,Howard Street,L,3 HOWARD STREET,3,Vacant (Available),10/14/2015,Vacant,Howard St,-62.2414594,S
21729,118751,Lafayette Street,R,129 LAFAYETTE STREET,129,Cathay Bank,3/11/2010,Bank,Lafayette St,42.23614263,E
21730,118752,Lafayette Street,R,129 LAFAYETTE STREET,127B,First Custom Corporation,3/11/2010,Misc Service,Lafayette St,42.23614263,E
21731,118753,Lafayette Street,R,123 LAFAYETTE STREET,125,Love Hate Tattoo,5/4/2017,,Lafayette St,42.23614263,E
21732,118754,Centre Street,L,239 CANAL STREET,187,KSS Beauty Spa (Available),10/14/2015,Salon/Spa,Centre St,38.92754359,W
21733,118755,Lafayette Street,R,247 CANAL STREET,117-121,Vacant (Not Available),11/21/2012,Vacant,Lafayette St,42.23614263,E
21734,118756,Lafayette Street,L,138 LAFAYETTE STREET,138,Gem Works,7/20/2007,Accessories,Howard St,-65.22485943,S
21735,118757,Lafayette Street,L,138 LAFAYETTE STREET,138,Amy's Souvenir Shop,10/24/2012,Candy/Gifts/Cards,Lafayette St,42.23614263,W
21736,118758,Lafayette Street,L,138 LAFAYETTE STREET,138,DG Fashion,10/24/2012,Fashion:FastFashion/Affordable/Value,Lafayette St,42.23614263,W
21737,118759,Lafayette Street,L,138 LAFAYETTE STREET,138,Canal Lafayette Street Corp,10/24/2012,Restaurant,Lafayette St,42.23614263,W
21738,118760,Lafayette Street,,138 LAFAYETTE STREET,128,Delete,10/24/2012,,Lafayette St,42.23614263,
21739,118761,Lafayette Street,L,126 LAFAYETTE STREET,128,Yu Yu Gift Shop (Available),10/10/2014,Candy/Gifts/Cards,Lafayette St,42.23614263,W
21740,118762,Lafayette Street,L,126 LAFAYETTE STREET,128,Shanxiu Taoist Temple,7/20/2007,Landmark,Lafayette St,42.23614263,W
21741,118763,Lafayette Street,L,126 LAFAYETTE STREET,128,Watches/Glasses / Bags,3/11/2010,Accessories,Lafayette St,42.23614263,W
