Address,City,State,Zip,Store Type
3925 WEST 50TH STREET,EDINA,MN,55424,"Shoes, Petites"
1060 SOUTHDALE CTR,EDINA,MN,55435,Shoes
12401 WAYZATA BLVD,MINNETONKA,MN,55305,
100 W MARKET,BLOOMINGTON,MN,55425,"Shoes, Petites"
BUILDING 400,EAGAN,MN,55122,Factory Store
9120 Hudson Road,WOODBURY,MN,55125,
6415 LABEAUX AVE NE,ALBERTVILLE,MN,55301,"Factory Store, Petites"
1860 Utica Square,TULSA,OK,74114,"Shoes, Petites"
7021 S. Memorial Drive,TULSA,OK,74133,Shoes
26300 CEDAR RD,BEACHWOOD,OH,44122,Petites
549 S. Chillicothe Road,AURORA,OH,44202,Factory Store
3265 West Market Street,FAIRLAWN,OH,44333,"Shoes, Petites"
2142 NORTH ROCK ROAD,WICHITA,KS,67206,
333 Canal Street,NEW ORLEANS,LA,70130,"Shoes, Petites"
3410 Highway 190,MANDEVILLE,LA,70471,"Shoes, Petites"
2300 SOUTH TANGER BLVD,GONZALES,LA,70737,"Factory Store, Petites"
10850 FACTORY SHOP BLVD,GULFPORT,MS,39503,"Factory Store, Petites"
6401 BLUEBONNET BLVD,BATON ROUGE,LA,70836,
2373 TOWNE CENTER BLVD,BATON ROUGE,LA,70806,
2223 N WEST SHORE BLVD,TAMPA,FL,33607,
7964 CITRUS PARK TOWN CENTER MALL,TAMPA,FL,33625,
2364 GRAND CYPRESS DRIVE,LUTZ,FL,33559,Factory Store
5657 Factory Shops Blvd,ELLENTON,FL,34222,Factory Store
140 UNIVERSITY TOWN CENTER DRIVE,SARASOTA,FL,34243,
8200 Vineland Ave,ORLANDO,FL,32821,"Factory Store, Petites"
4957 INTERNATIONAL DRIVE,ORLANDO,FL,32819,"Factory Store, Petites"
4200 CONROY RD,ORLANDO,FL,32839,"Shoes, Petites"
8001 S Orange Blossom Trail,ORLANDO,FL,32809,"Shoes, Petites"
451 E ALTAMONTE DR,ALTAMONTE SPRINGS,FL,32701,
407 N. ALFAYA TRAIL,ORLANDO,FL,32828,Factory Store
1450 ALA MOANA BLVD.,HONOLULU,HI,96814,"Shoes, Petites"
2330 KALAKAUA AVENUE,HONOLULU,HI,96815,
4211 WAIALAE AVENUE,HONOLULU,HI,96816,"Shoes, Petites"
94-798 Lumiaina St,WAIPAHU,HI,96797,"Factory Store, Petites"
900 FRONT STREET,LAHAINA,HI,96761,Factory Store
,,,,
1456 Saint Louis Galleria,RICHMOND HEIGHTS,MO,63117,Shoes
7 Plaza Frontenac,FRONTENAC,MO,63131,"Shoes, Petites"
32 WEST COUNTY CENTER,ST LOUIS,MO,63131,
17017 NORTH OUTER FORTY,CHESTERFIELD,MO,63005,Factory Store
5534 WALNUT STREET,PITTSBURGH,PA,15232,"Shoes, Petites"
1000 ROSS PARK MALL DR,PITTSBURGH,PA,15237,
301 SOUTH HILLS VILLAGE,PITTSBURGH,PA,15241,Shoes
100 ROBINSON CENTRE DR,PITTSBURGH,PA,15205,
2200 TANGER BLVD,WASHINGTON,PA,15301,"Factory Store, Petites"
1911 LEESBURG GROVE CITY RD,GROVE CITY,PA,16127,"Factory Store, Petites"
320 WEST 5TH AVENUE,ANCHORAGE,AK,99501,
1748 94TH DR,VERO BEACH,FL,32966,Factory Store
1215 NIAGARA FALLS BLVD,AMHERST,NY,14226,Shoes
TBD,EAST AMHERST,NY,14051,
1840 MILITARY ROAD,NIAGARA FALLS,NY,14304,"Factory Store, Petites"
300 TAYLOR ROAD,NIAGARA-ON-THE-LAKE,ON,L0S 1J0,Factory Store
900 MAPLE AVENUE,BURLINGTON,ON,L7S 2J8,Petites
218 Yonge Street,TORONTO,ON,M5B 2H1,
218 Yonge St,TORONTO,ON,M5B 2H6,Petites
80 BLOOR STREET WEST,TORONTO,ON,M5S 2V1,Petites
25 THE WEST MALL,ETOBICOKE,ON,M9C 1B8,
1970 ST. CLAIR AVENUE WEST,TORONTO,ON,M6N 0A3,Factory Store
100 City Centre Drive,MISSISSAUGA,ON,L5B 2C9,Petites
19 KARL FRASER ROAD,TORONTO,ON,M3C 1P8,Petites
MARKETPLACE MALL,ROCHESTER,NY,14623,
3401 DUFFERIN ST,TORONTO,ON,M6A 3A1,Petites
5950 RODEO DRIVE,MISSISSAUGA,ON,L5R 3V6,Factory Store
2901 Bayview Avenue,WILLOWDALE,ON,M2K 1E6,
100 KINGSTON RD. EAST,AJAX,ON,L1Z 1G1,Factory Store
5000 HIGHWAY 7,MARKHAM,ON,L3R 4M9,Petites
1 BASS PRO MILLS DRIVE,VAUGHAN,ON,L4K 5W4,Factory Store
135 EASTVIEW MALL,VICTOR,NY,14564,Petites
13850 STEELES AVENUE,HALTON HILLS,ON,L7G 5G2,Factory Store
17600 YONGE STREET,NEWMARKET,ON,L3Y 4Z1,
3311 SIMCOE ROAD 89,COOKSTOWN,ON,L0L 1L0,Factory Store
6650 S WESTNEDGE AVE,PORTAGE,MI,49024,Shoes
20350 SUMMERLIN ROAD,FORT MYERS,FL,33908,Factory Store
1500 WATER STREET,LAREDO,TX,78040,Factory Store
32 West Town Mall,MADISON,WI,53719,Shoes
210 GASSER ROAD,BARABOO,WI,53913,Factory Store
2910 W. LOOP 289,LUBBOCK,TX,79407,Factory Store
1310 SCHEELS DRIVE,SPARKS,NV,89434,Factory Store
5725 JOHNSTON STREET,LAFAYETTE,LA,70503,Shoes
350 N MILWAUKEE ST,BOISE,ID,83704,
220 SUMMIT BLVD,BIRMINGHAM,AL,35243,"Shoes, Petites"
6200 GRAND RIVER BLVD. SUITE 238,LEEDS,AL,35094,Factory Store
722 W MAIN AVE,SPOKANE,WA,99201,
655 ROUTE 318,WATERLOO,NY,13165,Factory Store
9858 DESTINY USA DRIVE,SYRACUSE,NY,13204,
1551 VALLEY WEST DRIVE,WEST DES MOINES,IA,50266,Shoes
101 JORDAN CREEK PKWY,WEST DES MOINES,IA,50266,Shoes
6841 Main Street,WILMINGTON,NC,28405,
10847 KINGS RD HWY 17,MYRTLE BEACH,SC,29572,Factory Store
4635 Factory Stores Blvd,MYRTLE BEACH,SC,29579,Factory Store
640 PREMIUM OUTLETS BLVD,LEE,MA,01238,Factory Store
5201 W WAR MEMORIAL DR,PEORIA,IL,61615,Factory Store
Traffic Street & I-20,BOSSIER CITY,LA,71111,Factory Store
6000 WEST MARKHAM,LITTLE ROCK,AR,72205,
11201 BASS PRO PARKWAY #G,LITTLE ROCK,AR,72210,Factory Store
2601 S McKenzie Street,FOLEY,AL,36535,Factory Store
3195 28TH ST. SE,GRAND RAPIDS,MI,49512,
3700 RIVERTOWN PKWY SW,GRANDVILLE,MI,49418,"Shoes, Petites"
350 84th STREET,BYRON CENTER,MI,49315,Factory Store
50 SOUTH MAIN STREET,SALT LAKE CITY,UT,84101,Shoes
6191 S STATE ST,MURRAY,UT,84107,Petites
7077 S. PLAZA CENTER DR.,WEST JORDAN,UT,84084,Factory Store
850 N. JUPITER WAY,FARMINGTON,UT,84025,
6699 LANDMARK DR,PARK CITY,UT,84098,"Factory Store, Petites"
3700 NORTH CABELA'S BLVD,LEHI,UT,84043,Petites
1300 South State Street,OREM,UT,84097,Petites
1500 Apalachee Parkway,TALLAHASSEE,FL,32301,Factory Store
7600 KINGSTON PIKE,KNOXVILLE,TN,37919,
1645 Parkway,SEVIERVILLE,TN,37862,"Factory Store, Petites"
800 BREVARD ROAD,ASHEVILLE,NC,28806,Factory Store
5001 E. EXPRESSWAY 83,MERCEDES,TX,78570,"Factory Store, Petites"
2200 South 10th Street,MCALLEN,TX,78503,"Shoes, Petites"
50 HOLYOKE ST,HOLYOKE,MA,01040,Petites
200 BASS PRO DRIVE,PEARL,MS,39208,Factory Store
10801 CORKSCREW RD,ESTERO,FL,33928,Factory Store
23140 FASHION DRIVE,ESTERO,FL,33928,
5555 TAMIAMI TRAIL N.,NAPLES,FL,34108,Petites
1480 W EMPIRE MALL,SIOUX FALLS,SD,57106,Shoes
2825 S. Glenstone Avenue,SPRINGFIELD,MO,65804,
300 TANGER BLVD,BRANSON,MO,65616,Factory Store
4540 OSAGE BEACH PARKWAY,OSAGE BEACH,MO,65065,"Factory Store, Petites"
2203 S. PROMENADE BLVD,ROGERS,AR,72758,
4201 North Shiloh Drive,FAYETTEVILLE,AR,72703,Shoes
263 VALLEY RIVER CTR,EUGENE,OR,97401,
1 CROSSGATES MALL RD,ALBANY,NY,12203,"Shoes, Petites"
331 Broadway,SARATOGA SPRINGS,NY,12866,Shoes
4221 ELMORE AVE,DAVENPORT,IA,52807,Factory Store
6501 EAST LLOYD EXPRESSWAY,EVANSVILLE,IN,47715,Factory Store
121 W. Broughton Street,SAVANNAH,GA,31401,Shoes
200 TANGER OUTLET BLVD,POOLER,GA,31322,Factory Store
1414 FORDING ISLAND ROAD,BLUFFTON,SC,29910,"Factory Store, Petites"
249 King St,CHARLESTON,SC,29401,Shoes
4840 TANGER OUTLET BLVD,NORTH CHARLESTON,SC,29418,Factory Store
1232 BELK DR,MT PLEASANT,SC,29464,"Shoes, Petites"
25 VESTAL PARK EAST,VESTAL,NY,13850,Factory Store
1451 CORAL RIDGE AVE.,CORALVILLE,IA,52241,
112 Tanger Drive,WILLIAMSBURG,IA,52361,Factory Store
2810 W LOOP 250 N,MIDLAND,TX,79705,Factory Store
17 SETTLERS GRN,NORTH CONWAY,NH,03860,Factory Store
39 MAIN STREET,FREEPORT,ME,04032,Factory Store
#108 - 15735 CROYDON DRIVE,SURREY,BC,V3S 2L5,Factory Store
5000 CANOE PASS WAY,TSAWWASSEN,BC,V4M 4G9,Factory Store
805 BOYD ST. #C110,NEW WESTMINSTER,BC,V3M 5X2,Factory Store
221-4800 Kingsway,BURNABY,BC,V5H 4J2,Petites
7899 TEMPLETON STATION ROAD,RICHMOND,BC,V7B OB7,Factory Store
650 WEST 41ST AVENUE,VANCOUVER,BC,V5Z 2M9,
701 WEST GEORGIA ST,VANCOUVER,BC,V7Y 1A1,
1098 Robson St,VANCOUVER,BC,V6E 1A7,Petites
900 HIGUERA STREET,SAN LUIS OBISPO,CA,93401,
888 W. SECOND ST.,CALEXICO,CA,92231,Factory Store
1230 WELLINGTON RD. SOUTH,LONDON,ON,N6E 1M3,Factory Store
1680 RICHMOND STREET (NORTH),LONDON,ON,N6G 3Y9,
2960 KINGSWAY DRIVE,KITCHENER,ON,N2C 1X1,
