Address,City,State,Zip,Store Type
24201 W. Valencia Blvd.,VALENCIA,CA,91355,Petites
3333 Bristol St,COSTA MESA,CA,92626,Petites
234 WEST HILLCREST DRIVE,THOUSAND OAKS,CA,91360,Shoes
1 MILLS CIRCLE SUITE 834,ONTARIO,CA,91764,"Factory Store, Petites"
7911 PACIFIC COAST HIGHWAY,NEWPORT COAST,CA,92657,"Shoes, Petites"
12431 South MAINSTREET,RANCHO CUCAMONGA,CA,91739,
27000 CROWN VALLEY PARKWAY,MISSION VIEJO,CA,92691,"Shoes, Petites"
800 Ventura Boulevard,CAMARILLO,CA,93010,"Factory Store, Petites"
27461 SAN BERNARDINO AVE.,REDLANDS,CA,92374,Factory Store
1801 OUTLETS AT TEJON PARKWAY,TEJON RANCH,CA,93203,Factory Store
48650 Seminole Drive,CABAZON,CA,92230,"Factory Store, Petites"
5610 Paseo Del Norte,CARLSBAD,CA,92008,"Factory Store, Petites"
2796 TANGER WAY,BARSTOW,CA,92311,Factory Store
735 State St,SANTA BARBARA,CA,93101,
1555 CAMINO DEL MAR,DEL MAR,CA,92014,Shoes
11602-12174 CARMEL MOUNTAIN ROAD,SAN DIEGO,CA,92128,Factory Store
7841 GIRARD AVE,LA JOLLA,CA,92037,
1124 SOUTH DELANO COURT WEST,CHICAGO,IL,60605,
744 N MICHIGAN AVE,CHICAGO,IL,60611,"Shoes, Petites"
835 N. Michigan Ave.,CHICAGO,IL,60611,
917 West North Avenue,CHICAGO,IL,60622,"Shoes, Petites"
2720 N. CLARK STREET,CHICAGO,IL,60614,Factory Store
5220 ROSE ST,ROSEMONT,IL,60018,Factory Store
4999 OLD ORCHARD #L14,SKOKIE,IL,60077,"Shoes, Petites"
80 OAKBROOK CENTER,OAK BROOK,IL,60523,"Shoes, Petites"
VILLAGE CENTER DRIVE,BURR RIDGE,IL,60527,
108 ORLAND SQUARE DR,ORLAND PARK,IL,60462,Shoes
1060 NORTHBROOK CT,NORTHBROOK,IL,60062,
5 WOODFIELD MALL,SCHAUMBURG,IL,60173,
311 TOWN SQ,WHEATON,IL,60187,
103 S. WASHINGTON BLVD.,NAPERVILLE,IL,60540,
20530 N RAND RD,DEER PARK,IL,60010,"Shoes, Petites"
219 HAWTHORNE CENTER,VERNON HILLS,IL,60061,
1650 PREMIUM OUTLETS BLVD,AURORA,IL,60504,"Factory Store, Petites"
226 COMMONS DR,GENEVA,IL,60134,Shoes
6170 GRAND AVE,GURNEE,IL,60031,Factory Store
601 Wabash Street,MICHIGAN CITY,IN,46360,Factory Store
11211 120th Avenue,PLEASANT PRAIRIE,WI,53158,"Factory Store, Petites"
6501 GRAPE RD,MISHAWAKA,IN,46545,Shoes
2500 North Mayfair Road,WAUWATOSA,WI,53226,Petites
495 WEST NORTHSHORE DRIVE,GLENDALE,WI,53217,Shoes
2400 UNIVERSITY BLVD,HOUSTON,TX,77005,Petites
3922 WESTHEIMER RD,HOUSTON,TX,77027,"Shoes, Petites"
5135 W ALABAMA ST,HOUSTON,TX,77056,
5135 W. ALABAMA,HOUSTON,TX,77056,Petites
303 MEMORIAL CITY WAY,HOUSTON,TX,77024,Petites
600 W SAM HOUSTON PKWY N,HOUSTON,TX,77024,
1554 WILLOWBROOK MALL,HOUSTON,TX,77070,
16535 SOUTHWEST FWY,SUGAR LAND,TX,77479,Petites
1069 Baybrook Mall,FRIENDSWOOD,TX,77546,"Shoes, Petites"
5000 Katy Mills Circle,KATY,TX,77494,"Factory Store, Petites"
1201 LAKE WOODLANDS DR,WOODLANDS,TX,77380,"Shoes, Petites"
29300 HEMPSTEAD ROAD,CYPRESS,TX,77433,"Factory Store, Petites"
5885 GULF FREEWAY FRONTAGE ROAD,TEXAS CITY,TX,77592,Factory Store
543 WILMINGTON PIKE,GLEN MILLS,PA,19342,
346 EXTON SQUARE MALL,EXTON,PA,19341,Shoes
18 LIGHTCAP ROAD,POTTSTOWN,PA,19464,"Factory Store, Petites"
124 CHRISTIANA MALL,NEWARK,DE,19702,Petites
1100 STANLEY K TANGER BLVD,LANCASTER,PA,17602,"Factory Store, Petites"
83 OUTLET SQUARE,HERSHEY,PA,17033,Factory Store
825 DULANEY VALLEY ROAD,TOWSON,MD,21204,
36445 SEASIDE OUTLET DRIVE,REHOBOTH BEACH,DE,19971,"Factory Store, Petites"
403 Outlet Center Drive,QUEENSTOWN,MD,21658,Factory Store
201 E. PRATT STREET,BALTIMORE,MD,21202,
437 Arena Hub Plz,WILKES-BARRE,PA,18702,Factory Store
26 ANNAPOLIS MALL,ANNAPOLIS,MD,21401,
6800 N 95 AVE,GLENDALE,AZ,85305,Factory Store
4976 PREMIUM OUTLETS,CHANDLER,AZ,85226,Factory Store
15215 N KIERLAND BLVD,PHOENIX,AZ,85254,
2212 EAST WILLIAMS FIELD RD.,GILBERT,AZ,85295,
4250 W. ANTHEM WAY,PHOENIX,AZ,85087,"Factory Store, Petites"
6401 WEST MARANA CENTER BLVD,TUCSON,AZ,85742,Factory Store
11745 W INTERSTATE HWY 10,SAN ANTONIO,TX,78230,
7322 Jones Maltsberger Road,SAN ANTONIO,TX,78209,"Shoes, Petites"
7400 SAN PEDRO AVE,SAN ANTONIO,TX,78216,"Shoes, Petites"
15900 La Cantera Parkway,SAN ANTONIO,TX,78256,
3939 IH-35 SOUTH 900,SAN MARCOS,TX,78666,"Factory Store, Petites"
4015 S INTERSTATE HWY 35,SAN MARCOS,TX,78666,"Factory Store, Petites"
HWY 71 AT HWY 620,BEE CAVE,TX,78738,
2901 S CAPITAL OF TEXAS HWY,AUSTIN,TX,78746,
11410 CENTURY TERRACE,AUSTIN,TX,78759,Petites
149 Horton Plz,SAN DIEGO,CA,92101,"Shoes, Petites"
7007 Friars Rd,SAN DIEGO,CA,92108,Petites
